population,x,y
5225,133.57,-70.93
4038,134.7,-70.93
5748,124.54,-70.0
6314,125.67,-70.0
1392,126.8,-70.0
1526,127.93,-70.0
5960,129.06,-70.0
12223,130.18,-70.0
3645,131.31,-70.0
6170,132.44,-70.0
2899,133.57,-70.0
2012,134.7,-70.0
1750,124.54,-69.07
6435,125.66,-69.07
975,126.79,-69.07
555,127.92,-69.07
1812,129.05,-69.07
5352,130.18,-69.07
8466,131.3,-69.07
4807,132.43,-69.07
2520,133.56,-69.07
3489,134.69,-69.07
2635,124.53,-68.15
2055,125.66,-68.15
1309,126.79,-68.15
352,127.91,-68.15
762,129.04,-68.15
3499,130.17,-68.15
6295,131.3,-68.15
10711,132.43,-68.15
4772,133.55,-68.15
8882,134.68,-68.15
3017,124.52,-67.22
4536,125.65,-67.22
1829,126.78,-67.22
975,127.91,-67.22
744,129.04,-67.22
4994,130.16,-67.22
4635,131.29,-67.22
14855,132.42,-67.22
3010,133.55,-67.22
6676,134.67,-67.22
5282,124.52,-66.3
932,125.64,-66.3
1373,126.77,-66.3
3815,127.9,-66.3
1448,129.03,-66.3
3077,130.16,-66.3
3579,131.28,-66.3
9604,132.41,-66.3
2300,133.54,-66.3
6582,134.67,-66.3
2191,124.51,-65.37
989,125.64,-65.37
693,126.77,-65.37
1022,127.89,-65.37
850,129.02,-65.37
7167,130.15,-65.37
6339,131.28,-65.37
9814,132.41,-65.37
6005,133.53,-65.37
9201,134.66,-65.37
5919,135.85,-73.7
4165,136.98,-73.7
5751,138.11,-73.7
3812,139.24,-73.7
2397,140.37,-73.7
1554,141.49,-73.7
19,142.62,-73.7
2669,143.75,-73.7
11810,144.88,-73.7
9227,146.01,-73.7
8914,135.85,-72.78
7152,136.97,-72.78
12413,138.1,-72.78
8146,139.23,-72.78
3494,140.36,-72.78
956,141.49,-72.78
3597,142.61,-72.78
2814,143.74,-72.78
9349,144.87,-72.78
10934,146.0,-72.78
7552,135.84,-71.85
7121,136.97,-71.85
8075,138.09,-71.85
9716,139.22,-71.85
6588,140.35,-71.85
7838,141.48,-71.85
6317,142.61,-71.85
